username,creator_account,creator_name,image_url,saved_to,ok,error,content
ooo93o,ooo93o,あむら🧋,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2730c08ca8145e8c67067bf96d7e33ed~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=280dd296&x-expires=1770213600&x-signature=ukS4hy1LQWagtzWp6Fy8qzQazhY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/ooo93o.jpeg,ok,,"𝑳𝒊𝒗𝒆 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 ❤️‍🔥🎟🎧
夜 23時〜🌙 朝 不定期配信☀️
2児のまま👦🏻👧🏻🤎"
t.o.p_u_jin_,t.o.p_u_jin_,🔆≒ユージン≒🔆,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4d46715338b1e9f459641d8ba10279a8~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=adef4cad&x-expires=1770213600&x-signature=uLYnOdG8wmTk0bbgCDO10%2Bw74Yg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/t.o.p_u_jin_.jpeg,ok,,"【J.O.L】 所属　
画像・実写配信　山形の人💁‍♂️
雑談×バトル　福山の声マネ(要望あれば)🙆‍♂️
【DM返信❌】
⏬お得なwebチャージ⏬"
mrm0115,mrm0115,限界突破まみ🎽,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc65ad99d03bb320d43fe6de43f688ca~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=19ebe7a4&x-expires=1770213600&x-signature=Zvc%2FBWd%2FSE6G7E54MHkNX97deYI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/mrm0115.jpeg,ok,,岡山県🍑エンタメバトル枠⚔️2児のシンママです❤朝10時30頃から配信しています🫶遊びに来て下さい😊昨年新人王ゴールド部門50位入賞❣️事務所イベ、バトル賞、JOL賞受賞🏅
l5332541,l5332541,🌸さくら🌸,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7b71c308bb60c061261c86a1c7a7fa7e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=ab011452&x-expires=1770213600&x-signature=mZFIilLzl%2FNpar1JC0t%2BSr9ClF8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/l5332541.jpeg,ok,,初めまして🔰さくらです🙇‍♀️配信時間朝と夕方たまにゲリラ夜です🤭マイペースで配信してます🥰雑談andバトルです🥰DMは控えさせていただきます🙇‍♀️ 2025 進撃バトル２０位👏
xx.3kidsmam.xx,xx.3kidsmam.xx,3児の母ゆき❄️💚,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/dbd5cacf133057d480c11387641b7d88~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b9c3e55d&x-expires=1770213600&x-signature=UssNZNVrxjlb7c5ttQrG3iU6BHA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/xx.3kidsmam.xx.jpeg,ok,,"推しマ→❄️💚【雑談⚔️バトル枠です】
中3🥊小2🦖年長👸3人シングルマザー
💊鬱.ASD.ADHD.パニック障害ご了承下さい
✨発達支援教育士取得
スッピン界隈"
donbeikun9999,donbeikun9999,☠️やらかしタロー☠️,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ae4e6bf3353c0b5b6d360929f1d4ad06~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=5585c016&x-expires=1770213600&x-signature=VrqqOn1ocVfxaBfoH20TV7z%2F9ig%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/donbeikun9999.jpeg,ok,,仲間が居ることに感謝
user2611614493438,user2611614493438,海の幸,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/864c4424913b1b3a3d56608e655b8d9b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=5a6c2c6e&x-expires=1770213600&x-signature=LYScnZ5FnxRy%2FS6D2o6lg8OiiLE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/user2611614493438.jpeg,ok,,
ceo1014,ceo1014,🦁CEO🦁🎗️,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/15f98967642e9226aae4524a00906240~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7a583b89&x-expires=1770213600&x-signature=n5QcH3LxNByRDvBxz3JRYp19Gn8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/ceo1014.jpeg,ok,,ＪＯＬ所属。広島県福山市！シンファ！配信時間①6:30②18:15③21:00前後〜定期配信中。日月は不定期です。⭐️似顔絵描きます！アイコンフレーム作成！配信用静止画作成！
naoko2373,,,,,err,no_image_found,
j.uotami.0309,j.uotami.0309,♛じゅん♛🐳💫,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/caa65012a74c814876e4de9a129776eb~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=3c2ba445&x-expires=1770213600&x-signature=5cEiwBxImOwSQK%2FMsxLwPeLQ8qU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/j.uotami.0309.jpeg,ok,,"岡山 27 雑談配信とかたまにカラオケ配信
彼氏持ちなので夜露死苦
〖JOL所属〗配信時間は、仕事によって変動あり。基本平日の昼間にやります
インスタ→ra_mu.0309"
haaaachan0927,haaaachan0927,はーちゃんママ🌺,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1084223463bdc567196ec16b53c72371~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=fc5b476a&x-expires=1770213600&x-signature=is4fllnREz0dZL8n1ln7azButiQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/haaaachan0927.jpeg,ok,,"配信🔰9/19～。22時以降！日中＆朝配信はゲリラ🤗
Bリーグ目指してます！❤️‍🔥
2児のママ🩵🩷"
ritu_1115,ritu_1115,ジンヤ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5d0614c5d54df06452bb5823d89e0f5b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b7248701&x-expires=1770213600&x-signature=aEgM9utibpyZmHyEXsG%2Bzt9v1Ms%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/ritu_1115.jpeg,ok,,kyotoð¯ðµÃð°ð·
ikkurrex7ja,ikkurrex7ja,⛩️奏良『そら』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4251338d3672d2bd7e22ac6cdc7f709c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=dabb3eeb&x-expires=1770213600&x-signature=BNe7w2OQggf7dec7XFPLybpeSH0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/ikkurrex7ja.jpeg,ok,,"平日は18時半以降から1時間くらいの配信、土日は朝9時から17時くらいまで配信してます。
北海道から元気にお届け٩(ˊᗜˋ*)و

宜しくお願いいたしますm(_ _)m"
user9577863834239,user9577863834239,マッサ画伯です👍,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f9c2726ce57749ebb0e934e4548d5224~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=675740b7&x-expires=1770213600&x-signature=izQv73LPb5mNEZmqmOJ7d21pdFw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images-01/user9577863834239.jpeg,ok,,鬱病とADHDがあります。看護師です。休職していましたが今はパートで働いています。
