username,creator_account,creator_name,image_url,saved_to,ok,error,content
j.o.l74,j.o.l74,【J.O.L 】代表 片桐 慶之,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/80857080897bd79567dbe6c0a1251c1e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b480e9ea&x-expires=1769065200&x-signature=FCx%2BcdYFlHf1g094VLqKFVSGfOM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/j.o.l74.jpeg,ok,,"新設TikTok事務所【J.O.L】代表 片桐です🎉

一緒にライブ配信を楽しむ仲間を幅広く募集中🔥🔥🔥

未経験も大歓迎、まずは気軽にDMください✉️"
mrm0115,mrm0115,限界突破まみ🎽,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc65ad99d03bb320d43fe6de43f688ca~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=a9972f50&x-expires=1769065200&x-signature=rWKDhmpRUz%2F2RQRX7SgwjlH8y%2Fo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/mrm0115.jpeg,ok,,2児のママです❤朝10時30頃から配信しています🫶遊びに来て下さい😊昨年新人王ゴールド部門50位入賞させて頂きました❣️
j.o.l78,j.o.l78,まえきょー【J.O.L所属】,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/85046e2ecb6174eb605639e53f29a198~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=5f468832&x-expires=1769065200&x-signature=P2IUCrCvuTbDa5A26Y8y%2B8zYTTY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/j.o.l78.jpeg,ok,,"配信を定期的に致します。
皆様の参考になればでございますが、転職関連の仕事をしてるのでお仕事の悩みや、
転職相談は比較的頑張れます！"
gachupin_y,gachupin_y,gachupin_y,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7130863026961874946~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f529bd82&x-expires=1769065200&x-signature=Pc9hKhHpUzw1CHWBRLijKOae710%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/gachupin_y.jpeg,ok,,
flower._.of._.love,,,,,err,no_image_found,
kaguya9083,,,,,err,no_image_found,
naoko2373,,,,,err,no_image_found,
user3568305345600,user3568305345600,黒サギ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4836aca5ce2fb4aa796301effa71be36~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=0cf6aa9b&x-expires=1769065200&x-signature=EmmlyoBpDszyTCkMsbOjYsLrAvM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/user3568305345600.jpeg,ok,,仲間になってみない💰️
xx.3kidsmam.xx,xx.3kidsmam.xx,3児の母ゆき❄️💚,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/89c46bc271fb0bcf2c9e373800c0d45c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b500ee6e&x-expires=1769065200&x-signature=qVsx%2FPWjVucHXwvnHOFIdTMbxxI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/xx.3kidsmam.xx.jpeg,ok,,"推しマ→❄️💚【暫く気分配信です】
中3🥊小2🦖年長👸3人シングルマザー
💊鬱.ASD.ADHD.パニック障害ご了承下さい
✨発達支援教育士取得
スッピン界隈"
user5080771734673,user5080771734673,鶏右衛門,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/61cd5024b8c33902a7ba7de6874cf38c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=a7cd937f&x-expires=1769065200&x-signature=gTJHHcOD8PWWm88h%2BMeVLHhEKM8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/user5080771734673.jpeg,ok,,"焼き鳥、鶏料理のお店の大将やってます😛
仕込みしながらとりとめのない話しをしてます
沈黙する時間の方が長いのでご了承を w"
tanemashingan_uoxou_,tanemashingan_uoxou_,たね,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/649df44e5f3d60fc6db8a32a78af3a61~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=c46229ce&x-expires=1769065200&x-signature=%2F1CIly3ERd90xLre2%2BwQzfCYAH4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/tanemashingan_uoxou_.jpeg,ok,,"お昼に配信してます
【インスタ】daaa_om.om
【欲しリス】https://www.amazon.jp/hz/wishlist/ls/2GI4Z9NQXQTCZ?ref_=wl_share"
s____nz062,s____nz062,さな,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4ef5ab75909afe9bc363ed039a17987b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f8b9d32a&x-expires=1769065200&x-signature=GMvwWchShJawCsVYmUoKH8LxItw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/s____nz062.jpeg,ok,,"LIVE配信を気ままにしてます🐈‍⬛🌙
歌と美味しいものと絵を描くのが好きですあと寝ること"
user2115808794174,user2115808794174,🍀ぷに仔🐈‍⬛🩷🐈‍⬛,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1c0308a40b7a8cc95f7627fa5ba480ca~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=64bb00ed&x-expires=1769065200&x-signature=8LJ3QAjBOLoeGSqjVQzTYR5%2F8dI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/user2115808794174.jpeg,ok,,"8月からの🔰初心者🔰です🖐️
2児のかーちゃんです🐾
トップ画は歯磨き中🦷
広く浅く【アニオタ】【スノ推し】
あたたかく見守ってください🩷🩷"
oinari0422,oinari0422,おいなり🦊🌕,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9b76b9f43ccd816894b0289c3ab79711~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=9502db9c&x-expires=1769065200&x-signature=cL1e9dJUAYzVmlLk0R3w0jbiMYo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/oinari0422.jpeg,ok,,"#おいなり🦊って呼んでね！
毎日全力で必死に生きてます！笑
誰かの心の支えになれたらいいな😊

#MBTIは#INFJです。"
beru_hhabc,beru_hhabc,ベル,https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1a73c9a6599fb1b29a1ac1b61ba05662~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=47283d36&x-expires=1769065200&x-signature=UwgqksK3SUidZb4Y96Z75UkWE5k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/beru_hhabc.jpeg,ok,,皆様是非相互フォローお願いします🙇🏻‍♂️
gomatomame,gomatomame,ごまとまめ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ba8336a97530a37ec8b99e0cdf3da70d~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=246d8a85&x-expires=1769065200&x-signature=0rY4PsXRqFKWYpH%2FDFulzqYMSCA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/gomatomame.jpeg,ok,,"ごま🐱とまめ🐶のまったり生活🐾
天国のココ🐶🌈の思い出も胸に、
糖尿病と闘うリト🐶🛏と毎日わちゃわちゃしてます！"
user9577863834239,user9577863834239,マッサ画伯です👍,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f9c2726ce57749ebb0e934e4548d5224~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=da9ec7dc&x-expires=1769065200&x-signature=8tGNWUbjC8WBAKFz7VHSQXZ5ALs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/user9577863834239.jpeg,ok,,鬱病とADHDがあります。看護師です。休職していましたが今はパートで働いています。
donbeikun9999,donbeikun9999,☠️やらかしタロー☠️,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d16e3d0667794728568d1749b9b218b8~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=781639a1&x-expires=1769065200&x-signature=XgyH17Q31JmOGzel9HweArSkq%2FI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/donbeikun9999.jpeg,ok,,仲間が居ることに感謝
pmpmpmsmsmsm,pmpmpmsmsmsm,jamjam,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/47092b440b1cb26de28ed547b97315da~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=c4c2b9ee&x-expires=1769065200&x-signature=Lfpr0rS%2FaL9NayNzNENjT18JGik%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/pmpmpmsmsmsm.jpeg,ok,,"2児のパパです👨‍🍼
楽しく笑える配信を目指してます✨️
フォロー、タップお願いします
Mrs.GreenApple好き🍏
サンド、ノンスタ好きです"
mitsuo.y4,mitsuo.y4,PLACE/ゲーム好物者,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6d30734d14336ae4140ba0e63b4a3901~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7a170d35&x-expires=1769065200&x-signature=t%2BXHvZG4PSwhwonyXgNb0p2Iokw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/mitsuo.y4.jpeg,ok,,
dydbcp6ot05h,dydbcp6ot05h,🎽紅丸🍺️🩵,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/dc53371dd017e531d50cdb2b44ca4f67~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=cb943375&x-expires=1769065200&x-signature=yPa2i2QzILLq3Ucug86R%2BXeTB%2B0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/dydbcp6ot05h.jpeg,ok,,"アニメ大好きです。
🐻🎬😈🐷🐱🍤
自分→🐕🐾❤"
